code;family_variant;parent;categories;ACTIVE_INGREDIENT;ATC_CODE;BASE_UOM;DOSAGE_FORM;FREQUENCY;GPC_CODE;L3;PARENTID;price_reference-USD;PRODUCT_DESCRIPTION-en_US;PRODUCT_DESCRIPTION-fr_FR;ROUTE_OF_ADMINISTRATION;SOURCE_OF_DATA;STRENGTH;SUBSTITUTION-groups;SUBSTITUTION-products;SUBSTITUTION-product_models;UNSPSC_CODE;UN_SUPPLY_MATERIAL_CODE;WHO_COVID19_ITEM_CODE
C1003;PACK_SIZE;;COVID_BIOMED_O2_DELIVERY_DEVICES_NASAL_CANNULA_CATHETER,LMIS,PRODUCTS_TO_TRADE_ITEMS;;;Piece;;;;;;7.50;"Catheter, nasal, 40 cm, with lateral eyes, sterile, single use; Size 16 Fr";;;;;;;;;;BIOCATN001
C1004;PACK_SIZE;;COVID_BIOMED_O2_DELIVERY_DEVICES_NASAL_CANNULA_CATHETER,LMIS,PRODUCTS_TO_TRADE_ITEMS;;;Piece;;;;;;7.50;"Catheter, nasal, 40 cm, with lateral eyes, sterile, single use; Size 18 Fr";;;;;;;;;;BIOCATN001
C1005;PACK_SIZE;;COVID_BIOMED_O2_DELIVERY_DEVICES_NASAL_CANNULA_CATHETER,LMIS,PRODUCTS_TO_TRADE_ITEMS;;;Piece;;;;;;0.7;Nasal oxygen cannula, with prongs, adult;;;;;;;;;;BIOCAOX001
C1006;PACK_SIZE;;COVID_BIOMED_O2_DELIVERY_DEVICES_NASAL_CANNULA_CATHETER,LMIS,PRODUCTS_TO_TRADE_ITEMS;;;Piece;;;;;;0.8;Nasal oxygen cannula, with prongs, pediatric;;;;;;;;;;BIOCAOX002
C1007;PACK_SIZE;;COVID_BIOMED_O2_DELIVERY_DEVICES_MASKS,LMIS,PRODUCTS_TO_TRADE_ITEMS;;;Piece;;;;;;1.9;Mask, oxygen, with connection tube, reservoir bag and valve, high-concentration, non-sterile, single use, adult;;;;;;;;;;BIOMASO001
C1008;PACK_SIZE;;COVID_BIOMED_O2_DELIVERY_DEVICES_MASKS,LMIS,PRODUCTS_TO_TRADE_ITEMS;;;Piece;;;;;;2;Mask, oxygen, with connection tube, reservoir bag and valve, high-concentration, non-sterile, single use, pediatric;;;;;;;;;;BIOMASO002
C1009;PACK_SIZE;;COVID_BIOMED_O2_DELIVERY_DEVICES_MASKS,LMIS,PRODUCTS_TO_TRADE_ITEMS;;;Piece;;;;;;1.3;Venturi Mask, with percent O2 Lock and tubing, adult;;;;;;;;;;BIOVMAS001
C1010;PACK_SIZE;;COVID_BIOMED_O2_DELIVERY_DEVICES_MASKS,LMIS,PRODUCTS_TO_TRADE_ITEMS;;;Piece;;;;;;2.2;Venturi Mask, with percent O2 Lock and tubing, pediatric;;;;;;;;;;BIOVMAS002
C1011;PACK_SIZE;;COVID_BIOMED_MONITORING,LMIS,PRODUCTS_TO_TRADE_ITEMS;;;Piece;;;;;;40;Infrared thermometer;;;;;;;;;;BIOTHER001
C1012;PACK_SIZE;;COVID_BIOMED_MONITORING,LMIS,PRODUCTS_TO_TRADE_ITEMS;;;Each;;;;;;250;Pulse oximeter - portable handheld, with cables and sensor;;;;;;;;;;BIOPUOX001
C1013;PACK_SIZE;;COVID_BIOMED_MONITORING,LMIS,PRODUCTS_TO_TRADE_ITEMS;;;Each;;;;;;40;Pulse oximeter - fingertip;;;;;;;;;;BIOPUOX002
C1014;PACK_SIZE;;COVID_BIOMED_MONITORING,LMIS,PRODUCTS_TO_TRADE_ITEMS;;;Each;;;;;;950;Pulse oximeter - table top, with cables and sensor;;;;;;;;;;BIOPUOX003
C1015;PACK_SIZE;;COVID_BIOMED_MONITORING,LMIS,PRODUCTS_TO_TRADE_ITEMS;;;Each;;;;;;7901;Patient monitor, multiparametric, including EKG, non invasive blood pressure (NIBP), oxygen saturation (SpO2), respiratory rate (RR), temperature (TEMP), with sensors and cables;;;;;;;;;;BIOPAMO001
C1016;PACK_SIZE;;COVID_BIOMED_MONITORING,LMIS,PRODUCTS_TO_TRADE_ITEMS;;;Each;;;;;;1300;Patient monitor, multiparametric, NIBP, SpO2, TEMP, respiratory rate (RR) with sensors and cables, (without EKG);;;;;;;;;;BIOPAMO002
C1017;PACK_SIZE;;COVID_BIOMED_O2_THERAPY_SOURCES,LMIS,PRODUCTS_TO_TRADE_ITEMS;;;Each;;;;;;883;Concentrator O2, 10 L, with accessories;;;;;;;;;;BIOCONO001
C1018;PACK_SIZE;;COVID_BIOMED_O2_THERAPY_SOURCES,LMIS,PRODUCTS_TO_TRADE_ITEMS;;;Each;;;;;;;Oxygen plant, pressure swing absorption (PSA);;;;;;;;;;BIOOXPL001
C1019;PACK_SIZE;;COVID_BIOMED_O2_THERAPY_ACCESSORIES_AND_CONSUMABLES,LMIS,PRODUCTS_TO_TRADE_ITEMS;;;Meter;;;;;;2.7;Tubing, medical gases, int. diam. 5 mm;;;;;;;;;;BIOTUBG001
C1020;PACK_SIZE;;COVID_BIOMED_O2_THERAPY_ACCESSORIES_AND_CONSUMABLES,LMIS,PRODUCTS_TO_TRADE_ITEMS;;;Each;;;;;;3.5;Bubble humidifier;;;;;;;;;;BIOHUMI001
C1021;PACK_SIZE;;COVID_BIOMED_O2_THERAPY_ACCESSORIES_AND_CONSUMABLES,LMIS,PRODUCTS_TO_TRADE_ITEMS;;;Each;;;;;;1.1;Connector, biconical, symmetric, ext. diam. 7 mm;;;;;;;;;;BIOCONB001
C1022;PACK_SIZE;;COVID_BIOMED_O2_THERAPY_ACCESSORIES_AND_CONSUMABLES,LMIS,PRODUCTS_TO_TRADE_ITEMS;;;Each;;;;;;1.1;Connector, biconical, symmetric, ext. diam. 8 mm;;;;;;;;;;BIOCONB001
C1023;PACK_SIZE;;COVID_BIOMED_O2_THERAPY_ACCESSORIES_AND_CONSUMABLES,LMIS,PRODUCTS_TO_TRADE_ITEMS;;;Each;;;;;;1.1;Connector, biconical, symmetric, ext. diam. 9 mm;;;;;;;;;;BIOCONB001
C1024;PACK_SIZE;;COVID_BIOMED_O2_THERAPY_ACCESSORIES_AND_CONSUMABLES,LMIS,PRODUCTS_TO_TRADE_ITEMS;;;Each;;;;;;1.1;Connector, biconical, symmetric, ext. diam. 10 mm;;;;;;;;;;BIOCONB001
C1025;PACK_SIZE;;COVID_BIOMED_O2_THERAPY_ACCESSORIES_AND_CONSUMABLES,LMIS,PRODUCTS_TO_TRADE_ITEMS;;;Each;;;;;;1.1;Connector, biconical, symmetric, ext. diam. 11 mm;;;;;;;;;;BIOCONB001
C1026;PACK_SIZE;;COVID_BIOMED_O2_THERAPY_ACCESSORIES_AND_CONSUMABLES,LMIS,PRODUCTS_TO_TRADE_ITEMS;;;Each;;;;;;137;Flow splitter, 5 flowmeters 0-2 L/min, for pediatric use;;;;;;;;;;BIOFLOS001
C1027;PACK_SIZE;;COVID_BIOMED_O2_THERAPY_ACCESSORIES_AND_CONSUMABLES,LMIS,PRODUCTS_TO_TRADE_ITEMS;;;Each;;;;;;100;Flowmeter, Thorpe tube, for oxygen 0-15 L/min;;;;;;;;;;BIOFLOM001
C1028;PACK_SIZE;;COVID_BIOMED_O2_THERAPY_MECHANICAL_VENTILATION,LMIS,PRODUCTS_TO_TRADE_ITEMS;;;Each;;;;;;28384;Patient ventilator, intensive care, for adult and pediatric, with breathing circuits and patient interface;;;;;;;;;;BIOVENP001
C1029;PACK_SIZE;;COVID_BIOMED_O2_THERAPY_MECHANICAL_VENTILATION,LMIS,PRODUCTS_TO_TRADE_ITEMS;;;Each;;;;;;7250;Patient ventilator, transport, for adult and pediatric, with breathing circuits and patient interface;;;;;;;;;;BIOVENP002
C1030;PACK_SIZE;;COVID_BIOMED_O2_THERAPY_MECHANICAL_VENTILATION_ACCESSORIES,LMIS,PRODUCTS_TO_TRADE_ITEMS;;;Each;;;;;;4;Filter, heat and moisture exchanger (HMEF), high efficiency, with connectors, for adult, single use;;;;;;;;;;BIOFILT001
C1031;PACK_SIZE;;COVID_BIOMED_O2_THERAPY_MECHANICAL_VENTILATION_ACCESSORIES,LMIS,PRODUCTS_TO_TRADE_ITEMS;;;Each;;;;;;4.1;Filter, heat and moisture exchanger (HMEF), high efficiency, with connectors, for pediatric, single use;;;;;;;;;;BIOFILT002
C1032;PACK_SIZE;;COVID_BIOMED_O2_THERAPY_MECHANICAL_VENTILATION_ACCESSORIES,LMIS,PRODUCTS_TO_TRADE_ITEMS;;;Each;;;;;;62;Compressible self-refilling ventilation bag for adult, capacity > 1500 mL, with masks, small;;;;;;;;;;BIOBAGV001
C1033;PACK_SIZE;;COVID_BIOMED_O2_THERAPY_MECHANICAL_VENTILATION_ACCESSORIES,LMIS,PRODUCTS_TO_TRADE_ITEMS;;;Each;;;;;;62;Compressible self-refilling ventilation bag for adult, capacity > 1500 mL, with masks, medium;;;;;;;;;;BIOBAGV001
C1034;PACK_SIZE;;COVID_BIOMED_O2_THERAPY_MECHANICAL_VENTILATION_ACCESSORIES,LMIS,PRODUCTS_TO_TRADE_ITEMS;;;Each;;;;;;62;Compressible self-refilling ventilation bag for adult, capacity > 1500 mL, with masks, large;;;;;;;;;;BIOBAGV001
C1035;PACK_SIZE;;COVID_BIOMED_O2_THERAPY_NON_INVASIVE_VENTILATION,LMIS,PRODUCTS_TO_TRADE_ITEMS;;;Each;;;;;;1800;BiPAP, with tubing and patient interfaces for adult and pediatric, with accessories;;;;;;;;;;BIOBIPA001
C1036;PACK_SIZE;;COVID_BIOMED_O2_THERAPY_NON_INVASIVE_VENTILATION,LMIS,PRODUCTS_TO_TRADE_ITEMS;;;Each;;;;;;5606;CPAP, with tubing and patient interfaces for adult and pediatric, with accessories;;;;;;;;;;BIOCPAP001
C1037;PACK_SIZE;;COVID_BIOMED_O2_THERAPY_NON_INVASIVE_VENTILATION,LMIS,PRODUCTS_TO_TRADE_ITEMS;;;Piece;;;;;;0.4;High Flow Nasal Cannula, with accessories;;;;;;;;;;BIOCAHF001
C1038;PACK_SIZE;;COVID_PPE_HEALTHCARE_PROVIDERS_PROTECTION,LMIS,PRODUCTS_TO_TRADE_ITEMS;;;Piece;;;;;;0.2;APRON PROTECTION, plastic, disposable;;;;;;;;;;PPEAPRO001
C1039;PACK_SIZE;;COVID_PPE_HEALTHCARE_PROVIDERS_PROTECTION,LMIS,PRODUCTS_TO_TRADE_ITEMS;;;Piece;;;;;;0.4;GLOVES, SURGICAL, s.u., sterile, size 6.5, pair;;;;;;;;;;PPEGLOS001
C1040;PACK_SIZE;;COVID_PPE_HEALTHCARE_PROVIDERS_PROTECTION,LMIS,PRODUCTS_TO_TRADE_ITEMS;;;Piece;;;;;;0.4;GLOVES, SURGICAL, s.u., sterile, size 7, pair;;;;;;;;;;PPEGLOS002
C1041;PACK_SIZE;;COVID_PPE_HEALTHCARE_PROVIDERS_PROTECTION,LMIS,PRODUCTS_TO_TRADE_ITEMS;;;Piece;;;;;;0.4;GLOVES, SURGICAL, s.u., sterile, size 7.5, pair;;;;;;;;;;PPEGLOS003
C1042;PACK_SIZE;;COVID_PPE_HEALTHCARE_PROVIDERS_PROTECTION,LMIS,PRODUCTS_TO_TRADE_ITEMS;;;Piece;;;;;;0.4;GLOVES, SURGICAL, s.u., sterile, size 8, pair;;;;;;;;;;PPEGLOS004
C1043;PACK_SIZE;;COVID_PPE_HEALTHCARE_PROVIDERS_PROTECTION,LMIS,PRODUCTS_TO_TRADE_ITEMS;;;Piece;;;;;;0.4;GLOVES, SURGICAL, s.u., sterile, size 8.5, pair;;;;;;;;;;PPEGLOS005
C1044;PACK_SIZE;;COVID_PPE_HEALTHCARE_PROVIDERS_PROTECTION,LMIS,PRODUCTS_TO_TRADE_ITEMS;;;Piece;;;;;;0.1;GLOVE EXAMINATION, nitrile, pf, size S;;;;;;;;;;PPEGLOE001
C1045;PACK_SIZE;;COVID_PPE_HEALTHCARE_PROVIDERS_PROTECTION,LMIS,PRODUCTS_TO_TRADE_ITEMS;;;Piece;;;;;;0.1;GLOVE EXAMINATION, nitrile, pf, size M;;;;;;;;;;PPEGLOE002
C1046;PACK_SIZE;;COVID_PPE_HEALTHCARE_PROVIDERS_PROTECTION,LMIS,PRODUCTS_TO_TRADE_ITEMS;;;Piece;;;;;;0.1;GLOVE EXAMINATION, nitrile, pf, size L;;;;;;;;;;PPEGLOE003
C1047;PACK_SIZE;;COVID_PPE_HEALTHCARE_PROVIDERS_PROTECTION,LMIS,PRODUCTS_TO_TRADE_ITEMS;;;Piece;;;;;;0.1;GLOVE EXAMINATION, nitrile, pf, size XL;;;;;;;;;;PPEGLOE004
C1048;PACK_SIZE;;COVID_PPE_HEALTHCARE_PROVIDERS_PROTECTION,LMIS,PRODUCTS_TO_TRADE_ITEMS;;;Piece;;;;;;0.1;GLOVE EXAMINATION, nitrile, pf, size XXL;;;;;;;;;;PPEGLOE005
C1049;PACK_SIZE;;COVID_PPE_HEALTHCARE_PROVIDERS_PROTECTION,LMIS,PRODUCTS_TO_TRADE_ITEMS;;;Piece;;;;;;1;FACE SHIELD, clear plastic, disposable;;;;;;;;;;PPEFACE001
