code;family_variant;parent;categories;ACTIVE_INGREDIENT;ATC_CODE;BASE_UOM;DOSAGE_FORM;FREQUENCY;GPC_CODE;L3;PARENTID;price_reference-USD;PRODUCT_DESCRIPTION-en_US;PRODUCT_DESCRIPTION-fr_FR;ROUTE_OF_ADMINISTRATION;SOURCE_OF_DATA;STRENGTH;SUBSTITUTION-groups;SUBSTITUTION-products;SUBSTITUTION-product_models;UNSPSC_CODE;UN_SUPPLY_MATERIAL_CODE;WHO_COVID19_ITEM_CODE
4001;VARIANT_RH_SOURCE_ID;;10000463,L5_ORL_POP_LYNE,PRODUCTS_TO_TRADE_ITEMS;Lynestrenol;;Cycle;TA;Daily;10000463;Progestogen_Only_Pills;4001;0.25;Lynestrenol 0.5 mg Tablet, 28 Tablets/Cycle;;Oral_Solid;;0.5 mg;;;;51181914;;
2002;VARIANT_RH_SOURCE_ID;;10000463,L5_ORL_COC_LEVETH,PRODUCTS_TO_TRADE_ITEMS;Levonorgestrel/Ethinyl Estradiol;;Cycle;TA;Daily;10000463;Combined_Oral_Contraceptives;2002;0.25;Levonorgestrel/Ethinyl Estradiol 150/30 mcg, 21 Tablets/Cycle;;Oral_Solid;;150/30 mcg;;;;51352413;;
5000;VARIANT_RH_SOURCE_ID;;10000463,L5_INJ_MEDRO_104,PRODUCTS_TO_TRADE_ITEMS;Depot Medroxyprogesterone Acetate;;Unit;;Every 3 months;10000463;Injectable_Contraceptives;5000;0.85;Depot Medroxyprogesterone Acetate 104 mg/0.65 mL, Subcutaneous, Pre-Filled Device;;Parenteral;;104 mg/0.65 mL;;;;51351612;;
2004;VARIANT_RH_SOURCE_ID;;10000463,L5_ORL_COC_LEVETHPLAC,PRODUCTS_TO_TRADE_ITEMS;Levonorgestrel/Ethinyl Estradiol;;Cycle;TA;Daily;10000463;Combined_Oral_Contraceptives;2004;0.25;Levonorgestrel/Ethinyl Estradiol 150/30 mcg + Placebo 28 Tablets/Cycle;;Oral_Solid;;150/30 mcg;;;;51352413;;
11004;VARIANT_RH_SOURCE_ID;;10000460,L5_BAR_MCD_L56,PRODUCTS_TO_TRADE_ITEMS;;;Piece;;;10000460;Male_Condoms;11004;0.02;Male Condom (Latex), 56 mm;;;;;;;;53131622;;
11002;VARIANT_RH_SOURCE_ID;;10000460,L5_BAR_MCD_L52,PRODUCTS_TO_TRADE_ITEMS;;;Piece;;;10000460;Male_Condoms;11002;0.03;Male Condom (Latex), 52 mm;;;;;;;;53131622;;
11003;VARIANT_RH_SOURCE_ID;;10000460,L5_BAR_MCD_L53,PRODUCTS_TO_TRADE_ITEMS;;;Piece;;;10000460;Male_Condoms;11003;0.02;Male Condom (Latex), 53 mm;;;;;;;;53131622;;
7000;VARIANT_RH_SOURCE_ID;;L5_SDB_CPB,PRODUCTS_TO_TRADE_ITEMS;;;Piece;;;;Standard_Days_Method;7000;1.48;Color-Coded Plastic Beads;;;;;;;;42143103;;
5001;VARIANT_RH_SOURCE_ID;;10000463,L5_INJ_MEDRO_150,PRODUCTS_TO_TRADE_ITEMS;Depot Medroxyprogesterone Acetate;;Vial;;Every 3 months;10000463;Injectable_Contraceptives;5001;0.76;Depot Medroxyprogesterone Acetate 150 mg/ml (1ml) Vial, Intramuscular;;Parenteral;;150 mg/ml;;;;51351612;;
2000;VARIANT_RH_SOURCE_ID;;10000463,L5_ORL_COC_DESETH,PRODUCTS_TO_TRADE_ITEMS;Desogestrel/Ethinyl Estradiol;;Cycle;TA;Daily;10000463;Combined_Oral_Contraceptives;2000;1.54;Desogestrel/Ethinyl Estradiol 150/30 mcg, 21 Tablets/Cycle;;Oral_Solid;;150/30 mcg;;;;51352422;;
5002;VARIANT_RH_SOURCE_ID;;10000463,L5_INJ_NORE_ENANTATE,PRODUCTS_TO_TRADE_ITEMS;Norethisterone Enantate;;Ampoule;;Every 2 months;10000463;Injectable_Contraceptives;5002;1.15;Norethisterone Enantate 200 mg/mL (1 mL) Ampoule, Intramuscular;;Parenteral;;200 mg/mL;;;;51352008;;
10002;VARIANT_RH_SOURCE_ID;;10000460,L5_BAR_FCD_LRS,PRODUCTS_TO_TRADE_ITEMS;;;Piece;;;10000460;Female_Condoms;10002;0.41;Female Condom (Latex), Inner Retention Sponge;;;;;;;;53131622;;
4000;VARIANT_RH_SOURCE_ID;;10000463,L5_ORL_POP_LEVO,PRODUCTS_TO_TRADE_ITEMS;Levonrgestrel;;Cycle;TA;Daily;10000463;Progestogen_Only_Pills;4000;0.33;Levonorgestrel 30 mcg Tablet, 35 Tablets/Cycle;;Oral_Solid;;30 mcg;;;;51352006;;
10001;VARIANT_RH_SOURCE_ID;;10000460,L5_BAR_FCD_LRR,PRODUCTS_TO_TRADE_ITEMS;;;Piece;;;10000460;Female_Condoms;10001;0.30;Female Condom (Latex), Inner Retention Ring;;;;;;;;53131622;;
8000;VARIANT_RH_SOURCE_ID;;10005844,L5_SHR,PRODUCTS_TO_TRADE_ITEMS;;;Piece;;;10006817;Injection_and_aspiration_needles_and_accessories;8000;;Sharps Container, Cardboard, 5 L, White, Disposable, Water Resistant;;;;;;;;42142531;;
5003;VARIANT_RH_SOURCE_ID;;10000463,L5_INJ_NORE_ENANTATE_ESTRADIOL,PRODUCTS_TO_TRADE_ITEMS;Norethisterone Enantate/Estradiol Valerate;;Ampoule;;Every 1 month;10000463;Injectable_Contraceptives;5003;0.94;Norethisterone Enantate/Estradiol Valerate 50/5 mg/mL (1 mL) Ampoule, Intramuscular;;Parenteral;;50/5 mg/mL;;;;51352423;;
2000_UNFPA;VARIANT_RH_SOURCE_ID;2000;10000463,L5_ORL_COC_DESETH,PRODUCTS_TO_TRADE_ITEMS;Desogestrel/Ethinyl Estradiol;;Cycle;TA;Daily;10000463;Combined_Oral_Contraceptives;2000;1.54;Desogestrel/Ethinyl Estradiol 150/30 mcg, 21 Tablets/Cycle;;Oral_Solid;UNFPA;150/30 mcg;;;;51352422;;
2001_UNFPA;VARIANT_RH_SOURCE_ID;2001;10000463,L5_ORL_COC_DESETHPLAC,PRODUCTS_TO_TRADE_ITEMS;Desogestrel/Ethinyl Estradiol;;Cycle;TA;Daily;10000463;Combined_Oral_Contraceptives;2001;0.84;Desogestrel/Ethinyl Estradiol 150/30 mcg + Placebo 28 Tablets/Cycle;;Oral_Solid;UNFPA;150/30 mcg;;;;51352422;;
2002_UNFPA;VARIANT_RH_SOURCE_ID;2002;10000463,L5_ORL_COC_LEVETH,PRODUCTS_TO_TRADE_ITEMS;Levonorgestrel/Ethinyl Estradiol;;Cycle;TA;Daily;10000463;Combined_Oral_Contraceptives;2002;0.25;Levonorgestrel/Ethinyl Estradiol 150/30 mcg, 21 Tablets/Cycle;;Oral_Solid;UNFPA;150/30 mcg;;;;51352413;;
2003_GHSC_PSM;VARIANT_RH_SOURCE_ID;2003;10000463,L5_ORL_COC_LEVETHFE,PRODUCTS_TO_TRADE_ITEMS;Levonorgestrel/Ethinyl Estradiol;;Cycle;TA;Montly;10000463;Combined_Oral_Contraceptives;2003;0.27;Levonorgestrel/Ethinyl Estradiol 150/30 mcg + Ferrous Fumarate 75 mg, 28 Tablets/Cycle;;Oral_Solid;GHSC_PSM;150/30 mcg;;;;51352413;;
2003_UNFPA;VARIANT_RH_SOURCE_ID;2003;10000463,L5_ORL_COC_LEVETHFE,PRODUCTS_TO_TRADE_ITEMS;Levonorgestrel/Ethinyl Estradiol;;Cycle;TA;Montly;10000463;Combined_Oral_Contraceptives;2003;0.27;Levonorgestrel/Ethinyl Estradiol 150/30 mcg + Ferrous Fumarate 75 mg, 28 Tablets/Cycle;;Oral_Solid;UNFPA;150/30 mcg;;;;51352413;;
2004_UNFPA;VARIANT_RH_SOURCE_ID;2004;10000463,L5_ORL_COC_LEVETHPLAC,PRODUCTS_TO_TRADE_ITEMS;Levonorgestrel/Ethinyl Estradiol;;Cycle;TA;Daily;10000463;Combined_Oral_Contraceptives;2004;0.25;Levonorgestrel/Ethinyl Estradiol 150/30 mcg + Placebo 28 Tablets/Cycle;;Oral_Solid;UNFPA;150/30 mcg;;;;51352413;;
11001;VARIANT_RH_SOURCE_ID;;10000460,L5_BAR_MCD_L51,PRODUCTS_TO_TRADE_ITEMS;;;Piece;;;10000460;Male_Condoms;11001;0.02;Male Condom (Latex), 51 mm;;;;;;;;53131622;;
6000_UNFPA;VARIANT_RH_SOURCE_ID;6000;10000464,L5_IUD_TCU,PRODUCTS_TO_TRADE_ITEMS;Copper;;Piece;;;10000464;Copper_bearing_Intrauterine_Devices;6000;0.00;TCu380A Intrauterine Device;;Vaginal;UNFPA;;;;;42143103;;
6000_GHSC_PSM;VARIANT_RH_SOURCE_ID;6000;10000464,L5_IUD_TCU,PRODUCTS_TO_TRADE_ITEMS;Copper;;Piece;;;10000464;Copper_bearing_Intrauterine_Devices;6000;0.00;TCu380A Intrauterine Device;;Vaginal;GHSC_PSM;;;;;42143103;;
3000_UNFPA;VARIANT_RH_SOURCE_ID;3000;10000463,L5_ORL_EOC_2TAB,PRODUCTS_TO_TRADE_ITEMS;Levonorgestrel;;Dose;TA;;10000463;Emergency_Oral_Contraceptives;3000;0.23;Levonorgestrel 0.75 mg Tablet, 2 Tablets;;Oral_Solid;UNFPA;0.75 mg;;;;51352006;;
3000_GHSC_PSM;VARIANT_RH_SOURCE_ID;3000;10000463,L5_ORL_EOC_2TAB,PRODUCTS_TO_TRADE_ITEMS;Levonorgestrel;;Dose;TA;;10000463;Emergency_Oral_Contraceptives;3000;0.23;Levonorgestrel 0.75 mg Tablet, 2 Tablets;;Oral_Solid;GHSC_PSM;0.75 mg;;;;51352006;;
3001_UNFPA;VARIANT_RH_SOURCE_ID;3001;10000463,L5_ORL_EOC_1TAB,PRODUCTS_TO_TRADE_ITEMS;Levonrgestrel;;Dose;TA;;10000463;Emergency_Oral_Contraceptives;3001;0.64;Levonorgestrel 1.5 mg Tablet, 1 Tablet;;Oral_Solid;UNFPA;1.5 mg;;;;51352006;;
3001_GHSC_PSM;VARIANT_RH_SOURCE_ID;3001;10000463,L5_ORL_EOC_1TAB,PRODUCTS_TO_TRADE_ITEMS;Levonrgestrel;;Dose;TA;;10000463;Emergency_Oral_Contraceptives;3001;0.64;Levonorgestrel 1.5 mg Tablet, 1 Tablet;;Oral_Solid;GHSC_PSM;1.5 mg;;;;51352006;;
10001_UNFPA;VARIANT_RH_SOURCE_ID;10001;10000460,L5_BAR_FCD_LRR,PRODUCTS_TO_TRADE_ITEMS;;;Piece;;;10000460;Female_Condoms;10001;0.30;Female Condom (Latex), Inner Retention Ring;;;UNFPA;;;;;53131622;;
10002_UNFPA;VARIANT_RH_SOURCE_ID;10002;10000460,L5_BAR_FCD_LRS,PRODUCTS_TO_TRADE_ITEMS;;;Piece;;;10000460;Female_Condoms;10002;0.41;Female Condom (Latex), Inner Retention Sponge;;;UNFPA;;;;;53131622;;
10000_UNFPA;VARIANT_RH_SOURCE_ID;10000;10000460,L5_BAR_FCD_NRR,PRODUCTS_TO_TRADE_ITEMS;;;Piece;;;10000460;Female_Condoms;10000;0.50;Female Condom (Nitrile), Inner Retention Ring;;;UNFPA;;;;;53131622;;
10000_GHSC_PSM;VARIANT_RH_SOURCE_ID;10000;10000460,L5_BAR_FCD_NRR,PRODUCTS_TO_TRADE_ITEMS;;;Piece;;;10000460;Female_Condoms;10000;0.50;Female Condom (Nitrile), Inner Retention Ring;;;GHSC_PSM;;;;;53131622;;
11005;VARIANT_RH_SOURCE_ID;;10000460,L5_BAR_MCD_L58,PRODUCTS_TO_TRADE_ITEMS;;;Piece;;;10000460;Male_Condoms;11005;0.02;Male Condom (Latex), 58 mm;;;;;;;;53131622;;
1000_GHSC_PSM;VARIANT_RH_SOURCE_ID;1000;10000463,L5_IMP_ETO,PRODUCTS_TO_TRADE_ITEMS;Etonogestrel;;Set;;Every 3 years;10000463;Implantable_Contraceptives;1000;8.50;Etonogestrel 68 mg/rod, 1 Rod Implant;;Parenteral_Slow_Release;GHSC_PSM;68 mg/rod;;;;51352005;;
1000_UNFPA;VARIANT_RH_SOURCE_ID;1000;10000463,L5_IMP_ETO,PRODUCTS_TO_TRADE_ITEMS;Etonogestrel;;Set;;Every 3 years;10000463;Implantable_Contraceptives;1000;8.50;Etonogestrel 68 mg/rod, 1 Rod Implant;;Parenteral_Slow_Release;UNFPA;68 mg/rod;;;;51352005;;
1001_UNFPA;VARIANT_RH_SOURCE_ID;1001;10000463,L5_IMP_LEV_3YR,PRODUCTS_TO_TRADE_ITEMS;Levonrgestrel;;Set;;Every 3 years;10000463;Implantable_Contraceptives;1001;6.90;Levonorgestrel 75mg/rod, 2 Rod Implant, 3 Year Efficacy;;Parenteral_Slow_Release;UNFPA;75mg/rod;;;;51352006;;
1001_GHSC_PSM;VARIANT_RH_SOURCE_ID;1001;10000463,L5_IMP_LEV_3YR,PRODUCTS_TO_TRADE_ITEMS;Levonrgestrel;;Set;;Every 3 years;10000463;Implantable_Contraceptives;1001;6.90;Levonorgestrel 75mg/rod, 2 Rod Implant, 3 Year Efficacy;;Parenteral_Slow_Release;GHSC_PSM;75mg/rod;;;;51352006;;
1002_GHSC_PSM;VARIANT_RH_SOURCE_ID;1002;10000463,L5_IMP_LEV_5YR,PRODUCTS_TO_TRADE_ITEMS;Levonrgestrel;;Set;;Every 5 years;10000463;Implantable_Contraceptives;1002;8.50;Levonorgestrel 75mg/rod, 2 Rod Implant, 5 Year Efficacy;;Parenteral_Slow_Release;GHSC_PSM;75mg/rod;;;;51352006;;
1002_UNFPA;VARIANT_RH_SOURCE_ID;1002;10000463,L5_IMP_LEV_5YR,PRODUCTS_TO_TRADE_ITEMS;Levonrgestrel;;Set;;Every 5 years;10000463;Implantable_Contraceptives;1002;8.50;Levonorgestrel 75mg/rod, 2 Rod Implant, 5 Year Efficacy;;Parenteral_Slow_Release;UNFPA;75mg/rod;;;;51352006;;
5000_GHSC_PSM;VARIANT_RH_SOURCE_ID;5000;10000463,L5_INJ_MEDRO_104,PRODUCTS_TO_TRADE_ITEMS;Depot Medroxyprogesterone Acetate;;Unit;;Every 3 months;10000463;Injectable_Contraceptives;5000;0.85;Depot Medroxyprogesterone Acetate 104 mg/0.65 mL, Subcutaneous, Pre-Filled Device;;Parenteral;GHSC_PSM;104 mg/0.65 mL;;;;51351612;;
5000_UNFPA;VARIANT_RH_SOURCE_ID;5000;10000463,L5_INJ_MEDRO_104,PRODUCTS_TO_TRADE_ITEMS;Depot Medroxyprogesterone Acetate;;Unit;;Every 3 months;10000463;Injectable_Contraceptives;5000;0.85;Depot Medroxyprogesterone Acetate 104 mg/0.65 mL, Subcutaneous, Pre-Filled Device;;Parenteral;UNFPA;104 mg/0.65 mL;;;;51351612;;
5001_GHSC_PSM;VARIANT_RH_SOURCE_ID;5001;10000463,L5_INJ_MEDRO_150,PRODUCTS_TO_TRADE_ITEMS;Depot Medroxyprogesterone Acetate;;Vial;;Every 3 months;10000463;Injectable_Contraceptives;5001;0.76;Depot Medroxyprogesterone Acetate 150 mg/ml (1ml) Vial, Intramuscular;;Parenteral;GHSC_PSM;150 mg/ml;;;;51351612;;
5001_UNFPA;VARIANT_RH_SOURCE_ID;5001;10000463,L5_INJ_MEDRO_150,PRODUCTS_TO_TRADE_ITEMS;Depot Medroxyprogesterone Acetate;;Vial;;Every 3 months;10000463;Injectable_Contraceptives;5001;0.76;Depot Medroxyprogesterone Acetate 150 mg/ml (1ml) Vial, Intramuscular;;Parenteral;UNFPA;150 mg/ml;;;;51351612;;
4002;VARIANT_RH_SOURCE_ID;;10000463,L5_ORL_POP_NORE,PRODUCTS_TO_TRADE_ITEMS;Norethisterone;;Cycle;TA;Daily;10000463;Progestogen_Only_Pills;4002;0.73;Norethisterone 350 mcg Tablet, 28 Tablets/Cycle;;Oral_Solid;;350 mcg;;;;51352008;;
5002_GHSC_PSM;VARIANT_RH_SOURCE_ID;5002;10000463,L5_INJ_NORE_ENANTATE,PRODUCTS_TO_TRADE_ITEMS;Norethisterone Enantate;;Ampoule;;Every 2 months;10000463;Injectable_Contraceptives;5002;1.15;Norethisterone Enantate 200 mg/mL (1 mL) Ampoule, Intramuscular;;Parenteral;GHSC_PSM;200 mg/mL;;;;51352008;;
5002_UNFPA;VARIANT_RH_SOURCE_ID;5002;10000463,L5_INJ_NORE_ENANTATE,PRODUCTS_TO_TRADE_ITEMS;Norethisterone Enantate;;Ampoule;;Every 2 months;10000463;Injectable_Contraceptives;5002;1.15;Norethisterone Enantate 200 mg/mL (1 mL) Ampoule, Intramuscular;;Parenteral;UNFPA;200 mg/mL;;;;51352008;;
5003_UNFPA;VARIANT_RH_SOURCE_ID;5003;10000463,L5_INJ_NORE_ENANTATE_ESTRADIOL,PRODUCTS_TO_TRADE_ITEMS;Norethisterone Enantate/Estradiol Valerate;;Ampoule;;Every 1 month;10000463;Injectable_Contraceptives;5003;0.94;Norethisterone Enantate/Estradiol Valerate 50/5 mg/mL (1 mL) Ampoule, Intramuscular;;Parenteral;UNFPA;50/5 mg/mL;;;;51352423;;
8000_GHSC_PSM;VARIANT_RH_SOURCE_ID;8000;10005844,L5_SHR,PRODUCTS_TO_TRADE_ITEMS;;;Piece;;;10006817;Injection_and_aspiration_needles_and_accessories;8000;;Sharps Container, Cardboard, 5 L, White, Disposable, Water Resistant;;;GHSC_PSM;;;;;42142531;;
11000_UNFPA;VARIANT_RH_SOURCE_ID;11000;10000460,L5_BAR_MCD_L49,PRODUCTS_TO_TRADE_ITEMS;;;Piece;;;10000460;Male_Condoms;11000;0.02;Male Condom (Latex), 49 mm;;;UNFPA;;;;;53131622;;
11000_GHSC_PSM;VARIANT_RH_SOURCE_ID;11000;10000460,L5_BAR_MCD_L49,PRODUCTS_TO_TRADE_ITEMS;;;Piece;;;10000460;Male_Condoms;11000;0.02;Male Condom (Latex), 49 mm;;;GHSC_PSM;;;;;53131622;;
11001_UNFPA;VARIANT_RH_SOURCE_ID;11001;10000460,L5_BAR_MCD_L51,PRODUCTS_TO_TRADE_ITEMS;;;Piece;;;10000460;Male_Condoms;11001;0.02;Male Condom (Latex), 51 mm;;;UNFPA;;;;;53131622;;
11002_UNFPA;VARIANT_RH_SOURCE_ID;11002;10000460,L5_BAR_MCD_L52,PRODUCTS_TO_TRADE_ITEMS;;;Piece;;;10000460;Male_Condoms;11002;0.03;Male Condom (Latex), 52 mm;;;UNFPA;;;;;53131622;;
